date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:04	1715/1715	---M--	200	added ('OK')	image/png	etag:%226b3-6074691c06f21%22	https://themesdesign.in/harold/layout/images/testi/shape.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/testi/shape.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:05	1966/1966	---M--	200	added ('OK')	image/png	etag:%227ae-6074691c06f21%22	https://themesdesign.in/harold/layout/images/testi/shape-2.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/testi/shape-2.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:05	610/610	---M--	200	added ('OK')	image/png	etag:%22262-6074691c06f21%22	https://themesdesign.in/harold/layout/images/testi/shape-3.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/testi/shape-3.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:05	47651/47651	---M--	200	added ('OK')	image/png	etag:%22ba23-6074691c05f81%22	https://themesdesign.in/harold/layout/images/team/img1.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/team/img1.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:06	52349/52349	---M--	200	added ('OK')	image/png	etag:%22cc7d-6074691c06f21%22	https://themesdesign.in/harold/layout/images/team/img3.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/team/img3.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:06	51294/51294	---M--	200	added ('OK')	image/png	etag:%22c85e-6074691c06f21%22	https://themesdesign.in/harold/layout/images/team/img2.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/team/img2.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:06	67546/67546	---M--	200	added ('OK')	image/png	etag:%22107da-6074691c06f21%22	https://themesdesign.in/harold/layout/images/team/img4.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/team/img4.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:06	72112/72112	---M--	200	added ('OK')	image/png	etag:%22119b0-6074691bf84c0%22	https://themesdesign.in/harold/layout/images/blog/img-1.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/blog/img-1.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:07	102975/102975	---M--	200	added ('OK')	image/png	etag:%221923f-6074691c06f21%22	https://themesdesign.in/harold/layout/images/team/img5.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/team/img5.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:07	73022/73022	---M--	200	added ('OK')	image/png	etag:%2211d3e-6074691bf84c0%22	https://themesdesign.in/harold/layout/images/blog/img-2.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/blog/img-2.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:07	80663/80663	---M-Z	200	added ('OK')	application/javascript	etag:%2213b17-60d63b373eb62-gzip%22	https://themesdesign.in/harold/layout/js/bootstrap.bundle.min.js	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/js/bootstrap.bundle.min.js	(from https://themesdesign.in/harold/layout/index.html)
14:50:08	105281/105281	---M-Z	200	added ('OK')	application/javascript	etag:%2219b41-6074691c0ada1-gzip%22	https://themesdesign.in/harold/layout/js/tiny-slider.js	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/js/tiny-slider.js	(from https://themesdesign.in/harold/layout/index.html)
14:50:08	76461/76461	---M--	200	added ('OK')	image/png	etag:%2212aad-6074691bf9460%22	https://themesdesign.in/harold/layout/images/blog/img-3.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/blog/img-3.png	(from https://themesdesign.in/harold/layout/index.html)
14:50:08	95865/95865	---M-Z	200	added ('OK')	application/javascript	etag:%2217679-6074691c0ada1-gzip%22	https://themesdesign.in/harold/layout/js/swiper.min.js	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/js/swiper.min.js	(from https://themesdesign.in/harold/layout/index.html)
14:50:08	726/726	---M-Z	200	added ('OK')	application/javascript	etag:%222d6-6074691c09e01-gzip%22	https://themesdesign.in/harold/layout/js/counter.init.js	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/js/counter.init.js	(from https://themesdesign.in/harold/layout/index.html)
14:50:09	7879/7879	---M-Z	200	added ('OK')	application/javascript	etag:%221ec7-6074691c09e01-gzip%22	https://themesdesign.in/harold/layout/js/app.js	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/js/app.js	(from https://themesdesign.in/harold/layout/index.html)
14:50:10	1026396/1026396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22fa95c-6074691bed8e0%22	https://themesdesign.in/harold/layout/fonts/materialdesignicons-webfont.eot?v=5.9.55	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/fonts/materialdesignicons-webfont3e71.eot	(from https://themesdesign.in/harold/layout/css/materialdesignicons.min.css)
14:50:10	325244/325244	---M--	200	added ('OK')	font/woff2	etag:%224f67c-6074691bf36a0%22	https://themesdesign.in/harold/layout/fonts/materialdesignicons-webfont.woff2?v=5.9.55	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/fonts/materialdesignicons-webfont3e71.woff2	(from https://themesdesign.in/harold/layout/css/materialdesignicons.min.css)
14:50:11	465188/465188	---M--	200	added ('OK')	font/woff	etag:%2271924-6074691bf2700%22	https://themesdesign.in/harold/layout/fonts/materialdesignicons-webfont.woff?v=5.9.55	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/fonts/materialdesignicons-webfont3e71.woff	(from https://themesdesign.in/harold/layout/css/materialdesignicons.min.css)
14:50:11	71577/71577	---M--	200	added ('OK')	image/png	etag:%2211799-6074691bfd2e0%22	https://themesdesign.in/harold/layout/images/home/home-3/bg3.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/home/home-3/bg3.png	(from https://themesdesign.in/harold/layout/css/style.min.css)
14:50:11	51015/51015	---M--	200	added ('OK')	image/png	etag:%22c747-6074691bfe280%22	https://themesdesign.in/harold/layout/images/home/home-4/bg4.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/home/home-4/bg4.png	(from https://themesdesign.in/harold/layout/css/style.min.css)
14:50:11	1026176/1026176	---M--	200	added ('OK')	font/ttf	etag:%22fa880-6074691bf1760%22	https://themesdesign.in/harold/layout/fonts/materialdesignicons-webfont.ttf?v=5.9.55	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/fonts/materialdesignicons-webfont3e71.ttf	(from https://themesdesign.in/harold/layout/css/materialdesignicons.min.css)
14:50:11	130788/130788	---M--	200	added ('OK')	image/png	etag:%221fee4-6074691c01161%22	https://themesdesign.in/harold/layout/images/home/home-5/img-1.png	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/images/home/home-5/img-1.png	(from https://themesdesign.in/harold/layout/css/style.min.css)
14:50:15	1026396/1026396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22fa95c-6074691bed8e0%22	https://themesdesign.in/harold/layout/fonts/materialdesignicons-webfont.eot?	C:/Users/mitta/Downloads/Pratham%20PPW/themesdesign.in/harold/layout/fonts/materialdesignicons-webfontd41d.eot	(from https://themesdesign.in/harold/layout/css/materialdesignicons.min.css)
